"Date (C.E.)","1/D"
"1300-1315",6.95699436102996
"1315-1330",9.01199501387002
"1330-1340",10.2353926586529
"1340-1355",10.8200068328332
"1355-1365",7.76995196139593
"1365-1370",9.81194351557149
"1380-1410",10.2646516771102
"1410-1425",8.66527294552006
