Date (C.E.),Relative Abundance
1300-1315,0.0796875
1315-1330,0.09706872
1330-1340,0.04018146
1340-1355,0.1313173
1355-1365,0.04177151
1365-1370,0.04660588
1380-1410,0.02701271
1410-1425,0.02375
