"Date (C.E.)","Relative Abundance"
"1300-1315",0.0796875
"1315-1330",0.0970687169629986
"1330-1340",0.0401814646791964
"1340-1355",0.131317315658658
"1355-1365",0.0417715148465023
"1365-1370",0.0466058763931104
"1380-1410",0.0270127118644068
"1410-1425",0.02375
