Taxon,1300-1315,1315-1330,1330-1340,1340-1355,1355-1365,1365-1370,1380-1410,1410-1425
?Castor canadensis,0,0,0,0,0,0,0,1
Rodentia,3,22,71,43,10,48,58,67
Canis latrans,0,1,11,0,2,0,1,2
C. latrans or C. familiaris ,1,9,0,0,23,5,0,0
C. latrans/lupus/familiaris,0,0,0,1,1,0,0,0
Canis lupus,0,2,2,1,3,1,0,0
C. lupus or C. familiaris,0,2,1,0,0,2,0,1
Canis familiaris ,0,4,2,2,2,0,0,11
"C. familaris, Vulpes vulpes or Urocyon cinereoargenteus",0,8,7,1,1,0,0,0
Vulpes vulpes,0,0,1,0,0,0,0,0
Vulpes vulpes or Urocyon cinereoargenteus ,0,0,1,0,0,0,0,0
?Vulpes velox,0,0,0,0,0,1,0,0
Vulpes vulpes or V. macrotis,0,0,0,0,0,0,0,1
Urocyon cinereoargenteus,0,2,1,0,1,0,0,7
Canidae,2,6,12,1,4,0,0,0
Ursus cf. americanus,0,0,0,0,0,0,1,0
Ursus cf. arctos,0,0,0,0,4,0,0,0
Ursus sp. ,0,0,0,0,1,0,0,0
?Procyon lotor,0,0,0,0,0,0,0,1
?Martes americana,0,0,0,0,0,2,0,0
Mustela frenata,0,1,0,27,1,0,0,1
Mustela vison,0,1,0,0,0,0,0,1
Taxidea taxus ,0,2,1,0,0,4,1,4
Mephitis mephitis,0,1,1,0,1,0,1,1
Mustelidae,0,0,1,0,0,0,0,0
Lynx rufus ,0,0,0,1,1,0,0,0
Felidae,0,0,0,1,0,0,0,0
Carnivora ,0,2,3,2,2,1,0,7
Cervus elaphus ,1,1,0,0,0,0,3,4
Cervus elaphus or Odocoileus hemionus,2,1,20,25,2,4,0,0
Cervus elaphus or Bison bison,1,0,3,1,0,0,3,0
Odocoileus hemionus,11,10,59,21,48,32,38,81
Antilocapra americana,1,4,28,6,9,8,8,13
Antilocapra americana or Ovis canadensis,0,0,1,0,0,1,0,0
Ovis aries or Capra hirca,0,0,0,0,0,0,0,0
Artiodactyla ,13,39,76,54,49,82,61,130
Bos cf. taurus ,0,0,0,0,0,0,0,0
Bison bison,0,1,1,3,1,0,2,3
"Mammalian, unid. ",187,329,940,393,620,393,318,1523
"Vertebrate, unid. ",63,381,552,192,146,107,141,380
