"Date (C.E.)","Relative Abundance"
"1300-1315",0.16375
"1315-1330",0.149960222752586
"1330-1340",0.158161481999301
"1340-1355",0.192836584585865
"1355-1365",0.135313531353135
"1365-1370",0.180257510729614
"1380-1410",0.234327217125382
"1410-1425",0.198283158022005
