Date (C.E.),Relative Abundance,1/D
1300-1315,0.08,6.06
1315-1330,0.1,8.62
1330-1340,0.04,9.29
1340-1355,0.13,9.84
1355-1365,0.04,9.69
1365-1370,0.05,9.04
1380-1410,0.03,9.32
1410-1425,0.02,7.91
